contract_id,vendor_name,agency_name,naics_code,contract_value,award_date,period_end_date,set_aside_type,vendor_email,vendor_phone,state_code,obligation_amount
CON-202304-0019,Engility Corporation,General Services Administration,541690,-40537,2022-12-02,2026-03-06,SDVOSB,engility.contracts@mail.gov,(807) 552-3503,MD,755033
CON-202203-0068,Peraton,Department of Commerce,541513,365180,2023-01-07,11/05/2023,8(a),peraton.contracts@fedmail.gov,(918) 305-4811,CA,-18340
CON-202402-0056,L3Harris Technologies,Department of Commerce,541690,35093068,2022-05-11,04/27/2026,Total Small Business,l3harris.contracts@agency.gov,(555) 573-8690,MD,988665
CON-202306-0057,Telos Corporation,Department of Justice,541611,513071,2025-01-16,2025-03-24,Small Business,telos.contracts@fedmail.gov,(312) 455-1882,MN,164714
CON-202311-0102,Parsons Corporation,General Services Administration,541513,964187,09/02/2024,2026-04-18,HUBZone,parsons.contracts@agency.gov,(363) 626-1672,CA,1418445
,Booz Allen Hamilton,Department of Veterans Affairs,541511,-34088,2025-02-12,11/18/2026,VOSB,booz.contracts@mail.gov,(367) 821-6199,PA,374118
CON-202303-0091,Accenture Federal,,541519,1361627,2024-08-19,11/26/2024,Small Business,accenture.contracts@contractor.com,(832) 341-7035,IL,22366077
CON-202406-0036,PAE Government Services,Department of Homeland Security,541620,1682119,2024-09-23,2025-10-12,Unrestricted,pae..contracts@fedmail.gov,(893) 225-2955,GA,-1795
CON-202201-0087,Noblis,,541330,502453,2024-04-10,06/16/2023,SDVOSB,noblis.contracts@mail.gov,(875) 782-5450,IL,-3602
CON-202207-0012,ICF International,Department of Homeland Security,541330,39169941,05/24/2023,04/11/2024,8(a),icf.contracts@agency.gov,(432) 903-7897,OR,215828
CON-202212-0006,ManTech International,Department of Labor,611420,37396914,2024-05-03,11/11/2024,Small Business,mantech.contracts@mail.gov,6619544283,ZZ,32588
,Intelligent Systems,General Services Administration,541519,-14475,08/23/2022,04/29/2023,HUBZone,intelligent.contracts@contractor.com,(394) 291-2827,FL,25703
CON-202401-0104,General Dynamics IT,Department of Homeland Security,541511,41324947,02/12/2022,09/10/2025,8(a),general.contracts@fedmail.gov,(847) 377-5957,WA,462032
CON-202208-0115,CACI International,Department of Transportation,541690,-48333,11/10/2024,2023-11-11,Total Small Business,caci.contracts@agency.gov,(992) 581-3109,NJ,1429339
CON-202405-0020,Engility Corporation,Social Security Administration,541330,1572211,2025-01-19,06/04/2025,VOSB,@fedmail.gov,,DC,235805
CON-202405-0020,Engility Corporation,Social Security Administration,541330,1572211,2025-01-19,06/04/2025,VOSB,@fedmail.gov,,DC,235805
CON-202309-0086,Engility Corporation,NASA,58179,1425539,2022-06-24,2026-03-30,WOSB,engility.contracts@mail.gov,(519) 601-9335,CA,474815
CON-202209-0016,PAE Government Services,Department of Commerce,541620,-9464,2022-02-10,08/21/2025,8(a),pae..contracts@govmail.net,(338) 992-5699,CO,611743
